model,horizon_hours,SEASON,origins,storms,track_mean_km,track_median_km,track_p90_km,track_p95_km,wind_mae_kt,wind_rmse_kt,wind_bias_kt,storm_macro_track_mean_km,storm_macro_wind_mae_kt,storm_track_ci95_low_km,storm_track_ci95_high_km,storm_wind_mae_ci95_low_kt,storm_wind_mae_ci95_high_kt
gru,48,2021,191,14,339.23977496607927,314.3120173922912,598.1169743970785,719.3012238764572,14.156867162557976,18.314258559704214,2.0053423270528947,323.1126088062257,14.450743499869317,254.55099166980756,393.4254306810908,10.557290243007571,18.927355342933076
gru,48,2022,109,8,328.0689941223287,258.87404705147895,663.8428279259616,758.4400591438724,18.052047479282542,23.931780713855044,-5.128220919415126,406.0047314184237,19.40407720209264,273.99516314523663,544.5901117093208,11.615237969592629,27.48728814950066
gru,48,2023,252,15,377.0361771296104,343.12786061356235,663.9863129051803,752.8757249497274,13.36626812784112,16.16882167901254,1.6995803474262627,396.12127708891586,13.529002158020363,335.4001144361038,455.6389932841904,11.554947878974511,15.52702011596825
gru,48,2024,163,14,337.60700372959246,311.1382950768914,604.0648828750387,674.3299584929827,18.789658246197412,24.99551155324859,-1.9352003022647517,404.33031779564175,21.080298204216295,337.34113542681894,487.71782439645136,14.979442030921314,28.71592125493852
gru,48,2025,117,8,351.9536375434046,305.86010694523895,674.3120541832005,786.106225788231,22.398431358171944,28.979460143785087,-10.881601999637953,325.2212813272548,19.171127876508315,211.54367912095563,429.3113385770265,12.842733363477654,25.33166773104933
persistence,6,2020,466,29,126.9339802632432,122.3549392113916,191.20896485201737,248.4409737847452,4.8068669527897,7.85463423527519,0.278969957081545,134.8815929244653,5.004444636272694,117.05504426725906,154.74370703612473,3.747979217393524,6.5001828784385545
persistence,6,2021,299,19,137.20776787765098,125.28893726402671,219.9166180181821,289.25753758384155,3.963210702341137,6.738051483377234,0.2842809364548495,143.8584343401469,4.290753941822072,113.60028577563902,178.97344969364437,3.088425541659523,5.569625604287615
persistence,6,2022,183,14,116.42601204548978,104.67708054893876,184.1142874724887,227.05135337227136,4.016393442622951,6.764985389666734,-0.4644808743169399,137.0266436370524,3.487885325070199,107.76150210254735,170.76721502133634,2.0872073829531814,4.855584081923367
persistence,6,2023,369,17,109.6551055910166,100.5779690866006,175.7914873002372,195.09210392654933,3.143631436314363,5.321633508409986,-0.2439024390243902,118.17563251102736,3.3109565048746163,103.01622878647674,132.69114085256686,2.4198250751656327,4.279866331069684
persistence,6,2024,267,15,121.941476728842,114.90743964353956,198.91681507407864,225.30770985365905,5.861423220973783,8.671059100110147,0.4307116104868914,119.4817479095598,6.171205759802251,98.41784128818364,140.38920511264683,4.250181337100198,8.340680770253133
persistence,6,2025,188,13,129.62106949705287,122.09868482074997,207.00747483636204,236.01635438854697,4.946808510638298,7.855070188074354,-0.6382978723404256,130.74288291223522,4.280757085104911,114.70663630139016,146.65628570454496,3.0684449453680225,5.4321004277526015
persistence,12,2020,435,27,248.53795932461892,241.65149120218123,366.6696780718096,449.9739955894502,8.908045977011493,14.046310924036696,0.425287356321839,259.5568568012618,8.534407323416334,222.91902335706664,303.0121401855052,6.411359221916764,11.006962601139096
persistence,12,2021,279,16,269.08991531742873,248.2396462150652,406.509804776176,542.6708988719362,7.419354838709677,11.51592321332498,0.4301075268817204,306.09293523181816,6.746127394564895,239.51355605749936,384.7063922838585,4.810980193792694,9.289752213580336
persistence,12,2022,169,11,223.89772590281785,202.5364714020965,347.88523196548255,405.0427329145325,7.396449704142012,11.829658845561308,-1.1242603550295858,255.79182553293225,6.984773773657173,194.82184157678563,338.06088699979057,4.451555577574599,9.703477507341145
persistence,12,2023,351,17,214.77120005097163,194.9216468312036,344.8511287387575,386.8670552210992,6.096866096866097,9.252704232414198,-0.5982905982905983,233.56182388149944,6.459861616033393,204.21366766642532,264.1978282795184,4.798443191041361,8.569393367938423
persistence,12,2024,252,15,239.75370518378003,222.837303365638,385.8198469062413,440.32123529975473,11.031746031746032,15.275252316519468,0.753968253968254,234.12756233238153,11.59267570635992,193.57131286118877,275.3486429686778,8.174876196902513,15.396594670436771
persistence,12,2025,175,11,253.5236187873631,236.6652501282507,400.02181003030176,472.2498367676115,9.742857142857142,14.2277395052261,-1.457142857142857,245.077107591016,9.010610416929708,213.5171491210239,276.2284414067115,6.725604693717221,11.3346466126261
persistence,24,2020,379,25,477.5590973437727,468.6994291296665,691.633065895162,807.0396592774036,14.432717678100264,22.516484726366983,0.5013192612137203,507.19036837562294,13.590055339173247,430.3346195667329,605.3385685266694,9.824935739260738,17.904761807822016
persistence,24,2021,247,14,516.238037387384,486.6928562493475,752.959319102606,952.3770965763304,12.732793522267206,18.786570274322685,0.7894736842105263,497.5956426215953,12.824993458922032,418.99493078427054,581.4699537873349,9.225928833071691,17.685637428048135
persistence,24,2022,147,10,414.4727578778346,384.73978596940685,631.2376752650324,704.691172943838,12.482993197278912,18.18742183282639,-2.482993197278911,425.0763700705835,11.72493070860883,355.5302003718396,501.9830198111886,7.280933179723504,16.5166718426501
persistence,24,2023,316,15,411.19763166972785,387.14385665825773,636.116674406304,737.8522541746626,10.759493670886076,14.8728790637714,-1.6455696202531649,446.28833181604995,10.774891774891776,390.716343327526,512.3039213750733,8.21752946127946,13.758785473785473
persistence,24,2024,222,15,466.45594890628894,445.2042173605785,741.29709744732,843.402609964309,18.10810810810811,23.142722086772455,0.7657657657657657,453.7066300366939,18.503467184988924,363.3469275134331,542.808878020109,14.10180402628772,23.35494383334057
